"cellType","protein","gene_name","r","pval","FDR"
"CD8+_naive_T-cells","c-Kit","KIT",0.0454843854122381,0.627798632819746,0.697554036466384
"CD8+_naive_T-cells","c-Met_pY1235","MET",-0.199373066995993,0.0319009634788098,0.127603853915239
"CD8+_naive_T-cells","CD20","MS4A1",-0.146875432607737,0.11564692579563,0.250607023383192
"CD8+_naive_T-cells","CD31","PECAM1",-0.220096030638978,0.017595405026172,0.127603853915239
"CD8+_naive_T-cells","CD49b","ITGA2",0.0684188383692887,0.465531458725439,0.620708611633919
"CD8+_naive_T-cells","Claudin-7","CLDN7",0.134528801992202,0.149929109535586,0.272598380973793
"CD8+_naive_T-cells","E-Cadherin","CDH1",0.143141257993744,0.125303511691596,0.250607023383192
"CD8+_naive_T-cells","EGFR","EGFR",-0.0486898779087921,0.603736402279319,0.697554036466384
"CD8+_naive_T-cells","EGFR_pY1068","EGFR",0.0687469824894911,0.463389354982891,0.620708611633919
"CD8+_naive_T-cells","EGFR_pY1173","EGFR",-0.127961108229735,0.171032839825917,0.285054733043195
"CD8+_naive_T-cells","HER2","ERBB2",0.230331290419922,0.0128673718368432,0.127603853915239
"CD8+_naive_T-cells","HER2_pY1248","ERBB2",0.158944819483345,0.0883436136949579,0.250607023383192
"CD8+_naive_T-cells","HER3","ERBB3",0.20141820143496,0.0301496279729076,0.127603853915239
"CD8+_naive_T-cells","HER3_pY1289","ERBB3",-0.0249602762941073,0.790269632185838,0.790269632185838
"CD8+_naive_T-cells","Heregulin","NRG1",-0.0545453593008948,0.560874836366796,0.697554036466384
"CD8+_naive_T-cells","N-Cadherin","CDH2",-0.156901022294953,0.0925669676091099,0.250607023383192
"CD8+_naive_T-cells","Notch1","NOTCH1",-0.0784438964986599,0.402588179704581,0.61936643031474
"CD8+_naive_T-cells","P-Cadherin","CDH3",-0.0389024265042701,0.678426381083432,0.714133032719402
"CD8+_naive_T-cells","VEGFR2","KDR",0.209602052364958,0.0239343583346223,0.127603853915239
"CD8+_T-cells","ACVRL1","ACVRL1",-0.0991542487743258,0.289613060343459,0.550984036995706
"CD8+_T-cells","c-Kit","KIT",-0.00519875247537318,0.95583073440698,0.95583073440698
"CD8+_T-cells","c-Met_pY1235","MET",-0.13714239301164,0.142099208473073,0.550984036995706
"CD8+_T-cells","CD20","MS4A1",-0.129066215206598,0.167336080346925,0.550984036995706
"CD8+_T-cells","CD31","PECAM1",-0.116709961157102,0.212155415591779,0.550984036995706
"CD8+_T-cells","CD49b","ITGA2",0.0293723629751655,0.754287035900252,0.838096706555835
"CD8+_T-cells","Claudin-7","CLDN7",0.0681678953769161,0.467173255452501,0.667390364932144
"CD8+_T-cells","E-Cadherin","CDH1",0.0964482799297926,0.303041220347638,0.550984036995706
"CD8+_T-cells","EGFR","EGFR",0.032102587445621,0.732276215532092,0.838096706555835
"CD8+_T-cells","EGFR_pY1068","EGFR",0.104248945882614,0.265419243755688,0.550984036995706
"CD8+_T-cells","EGFR_pY1173","EGFR",-0.115207865974619,0.218138106259582,0.550984036995706
"CD8+_T-cells","HER2","ERBB2",0.13569604076168,0.146393040297286,0.550984036995706
"CD8+_T-cells","HER2_pY1248","ERBB2",0.106152642276218,0.256742054163211,0.550984036995706
"CD8+_T-cells","HER3","ERBB3",0.115259078279067,0.217932183052024,0.550984036995706
"CD8+_T-cells","HER3_pY1289","ERBB3",-0.0465444254677514,0.619796391618683,0.826395188824911
"CD8+_T-cells","Heregulin","NRG1",-0.0695672796405106,0.458058292367323,0.667390364932144
